City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Rikitea,PF,74.03,overcast clouds,-23.1203,-134.9692,People ThankYou
13,La Ronge,CA,70.02,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
18,Kapoeta,SS,74.62,overcast clouds,4.7717,33.5903,Eastgate Hotel
27,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
33,Kupang,ID,74.23,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
40,La Libertad,EC,74.86,few clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
90,Teplyk,UA,70.27,broken clouds,48.6657,29.745,Hotelʹ
100,Fortuna,US,72.93,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
152,Ankpa,NG,71.58,overcast clouds,7.3706,7.6253,AA Suites
159,Los Llanos De Aridane,ES,71.35,few clouds,28.6585,-17.9182,Valle Aridane
176,Juba,SS,70.43,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
182,Bambous Virieux,MU,71.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
188,Belmonte,BR,73.38,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
197,Kamaishi,JP,71.8,few clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
203,Mahebourg,MU,71.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
205,Mancora,PE,74.08,scattered clouds,-4.1078,-81.0475,Máncora Marina Hotel
232,Grand Gaube,MU,71.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
238,Ambulu,ID,71.94,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
247,Pringsewu,ID,74.23,overcast clouds,-5.3582,104.9744,Urban Style by Front One
266,Calama,CL,73.89,clear sky,-22.4667,-68.9333,Park Hotel Calama
272,Yerkoy,TR,70.54,clear sky,39.6381,34.4672,Yerköy Öğretmenevi
284,Pimentel,PE,70.09,few clouds,-6.8367,-79.9342,Hotel Puerto del Sol
308,Teahupoo,PF,73.36,light rain,-17.8333,-149.2667,Vanira Lodge
331,Yingkou,CN,74.14,overcast clouds,40.6648,122.2283,Yingkou Juyin Junyue Hotel
333,Diego De Almagro,CL,74.28,clear sky,-26.3667,-70.05,hotel luna del desierto
337,Juquia,BR,74.52,broken clouds,-24.3208,-47.6347,Casa Quero Verde
338,Torbay,CA,74.17,broken clouds,47.6666,-52.7314,Gallows Cove
341,Lagoa,PT,72.77,overcast clouds,39.05,-27.9833,Casa Das Faias
357,Kendari,ID,71.76,scattered clouds,-3.945,122.4989,Hotel Wixel
380,Dois Vizinhos,BR,74.66,broken clouds,-25.7336,-53.0572,Dois Vizinhos Palace Hotel
388,Pishin,PK,74.89,overcast clouds,30.5803,66.9961,City Hotel Pishin
390,Fabriano,IT,73.22,overcast clouds,43.3406,12.9073,Hotel 2000
392,Krynychky,UA,72.55,overcast clouds,48.3755,34.467,Kazanok
408,Wukari,NG,72.32,overcast clouds,7.85,9.7833,Elimtop
412,Ibatiba,BR,70.23,broken clouds,-20.2339,-41.5106,Hotel Nacional Ibatiba
414,Idanre,NG,70.02,overcast clouds,7.1127,5.1159,GOSHEN TRUST HOTEL AND SUITE
419,Nhulunbuy,AU,72.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
422,Malkara,TR,72.75,clear sky,40.89,26.9011,Ütğm Korel Lojmanı
425,High Level,CA,71.71,smoke,58.5169,-117.136,Days Inn by Wyndham High Level
